date,temperature,dew_point_temperature,sunrise,precip_prob,humidity,wind_speed,icon_clear,icon_cloudy,icon_fog,icon_partly-cloudy,icon_rain,icon_sleet,icon_snow
20150101,25,15,0,0,0.68,1.91,1,0,0,0,0,0,0
20150101,25.6,14.4,0,0.18,0.71,1.67,0,0,0,1,0,0,0
20150101,25.6,14.4,0,0.36,0.77,3.42,0,1,0,0,0,0,0
20150101,23.3,15.6,0,0.6,0.77,3.5,0,1,0,0,0,0,0
20150101,22.8,15.6,0,0.37,0.73,3.03,0,1,0,0,0,0,0
20150101,20.6,12.2,0,0,0.68,2.54,0,1,0,0,0,0,0
20150101,16.7,13.9,0,0,0.63,3.06,0,1,0,0,0,0,0
20150101,15.6,11.1,0,0,0.58,2.98,0,1,0,0,0,0,0
20150101,15.6,8.9,0,0,0.59,4.14,0,1,0,0,0,0,0
20150101,15,8.3,0,0,0.64,3.9,0,1,0,0,0,0,0
20150101,14.4,8.3,0,0.25,0.71,2.98,0,1,0,0,0,0,0
20150101,13.3,0,0,0.31,0.76,3.87,0,1,0,0,0,0,0
20150101,11.7,0.6,1,0,0.71,10.7,0,1,0,0,0,0,0
20150101,10,2.8,1,0.37,0.75,11.42,0,1,0,0,0,0,0
20150101,8.9,2.8,1,0.28,0.74,10.29,0,1,0,0,0,0,0
20150101,7.2,3.3,1,0.34,0.77,3.61,0,1,0,0,0,0,0
20150101,7.8,2.2,1,0.29,0.74,4.76,0,1,0,0,0,0,0
20150101,6.1,2.8,1,0,0.72,4.1,0,1,0,0,0,0,0
20150101,6.7,3.05,1,0,0.72,3.13,0,1,0,0,0,0,0
20150101,7.2,2.2,1,0.5,0.78,3.56,0,1,0,0,0,0,0
20150101,7.8,2.2,1,0.79,0.84,3.87,0,1,0,0,0,0,0
20150101,7.8,0.6,1,0.91,0.87,4.06,0,0,0,0,1,0,0
20150101,6.7,-0.6,1,1,0.9,2.88,0,0,0,0,1,0,0
20150101,5.6,0.6,0,1,0.91,2.99,0,0,0,0,1,0,0
20150101,4.4,1.1,0,0.77,0.9,3.32,0,1,0,0,0,0,0
20150101,4.15,1.7,0,0,0.89,3.38,0,1,0,0,0,0,0
20150101,3.216666667,1.7,0,0,0.89,2.6,0,1,0,0,0,0,0
20150101,3,1.75,0,0,0.88,1.64,0,1,0,0,0,0,0
20150101,3.3,1.7,0,0,0.88,2.4,0,1,0,0,0,0,0
20150101,3.3,1.1,0,0,0.88,3.1,0,1,0,0,0,0,0
20150101,3.3,0.85,0,0,0.88,2.26,0,1,0,0,0,0,0
20150101,3.3,0,0,0,0.87,2.97,0,1,0,0,0,0,0
20150101,3.3,0.3,0,0,0.87,2.58,0,1,0,0,0,0,0
20150101,2.8,0.6,0,0,0.87,2.03,0,1,0,0,0,0,0
20150101,2.866666667,0.733333333,0,0,0.86,2.65,0,1,0,0,0,0,0
20150101,2.8,0,0,0,0.86,2.61,0,1,0,0,0,0,0
20150101,2.2,0,1,0,0.85,3.06,0,1,0,0,0,0,0
20150101,2.2,0,1,0,0.85,2.79,0,1,0,0,0,0,0
20150101,2.2,0,1,0,0.86,2.03,0,1,0,0,0,0,0
20150101,2.2,0,1,0.49,0.89,2.08,0,1,0,0,0,0,0
20150101,2.15,-0.45,1,0.65,0.9,2.33,0,1,0,0,0,0,0
20150101,2.5,-0.3,1,0.61,0.9,2.79,0,1,0,0,0,0,0
20150101,2.8,0,1,0.42,0.9,2.67,0,1,0,0,0,0,0
20150101,2.8,1.1,1,0.31,0.9,1.69,0,1,0,0,0,0,0
20150101,2.8,1.7,1,0.48,0.92,2.08,0,0,1,0,0,0,0
20150101,3.3,1.7,1,0.45,0.93,2.17,0,1,0,0,0,0,0
20150101,3.3,2.2,1,0.61,0.93,0.95,0,0,1,0,0,0,0
20150101,3.9,2.5,0,0.83,0.94,0.26,0,0,0,0,1,0,0
20150101,3.3,2.65,0,0.93,0.94,0.4,0,0,0,0,1,0,0
20150101,3.733333333,2.866666667,0,0.52,0.94,0.14,0,1,0,0,0,0,0
20150101,3.9,3.05,0,0,0.95,0.39,0,1,0,0,0,0,0
20150101,4.4,3.7,0,0,0.95,0.78,0,1,0,0,0,0,0
20150101,4.4,3.5,0,0,0.95,2.02,0,1,0,0,0,0,0
20150101,4.4,3.9,0,0,0.94,2.55,0,1,0,0,0,0,0
20150101,5,3.9,0,0,0.93,2.19,0,1,0,0,0,0,0
20150101,5,4,0,0,0.93,2.61,0,0,0,1,0,0,0
20150101,5,4,0,0,0.92,2.61,0,0,0,1,0,0,0
20150101,5.6,3.9,0,0,0.93,1.46,0,0,0,1,0,0,0
20150101,6.1,4.4,0,0,0.93,1.65,0,0,0,1,0,0,0
20150101,6.1,4.4,0,0,0.93,1.16,0,0,0,1,0,0,0
20150101,6.1,4.4,1,0,0.93,1.01,0,0,0,1,0,0,0
20150101,6.7,5,1,0,0.92,0.9,0,0,0,1,0,0,0
20150101,6.7,5,1,0,0.88,0.95,1,0,0,0,0,0,0
20150101,6.7,5,1,0,0.76,2.07,0,0,0,1,0,0,0
20150101,6.95,5,1,0,0.71,1.69,0,0,0,1,0,0,0
20150101,7.5,5.3,1,0,0.68,2.07,0,0,0,1,0,0,0
20150101,8.9,5.6,1,0,0.69,1.69,0,1,0,0,0,0,0
20150101,10,5.6,1,0,0.67,1.31,0,1,0,0,0,0,0
